# Efficiencies taken from L144.end_use_eff
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
USA,comm cooling,electricity,electricity,1975,elect_td_bld,2.3507862,USA
Africa_Eastern,comm cooling,electricity,electricity,1975,elect_td_bld,1.653959,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,1975,elect_td_bld,1.653959,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,1975,elect_td_bld,1.653959,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,1975,elect_td_bld,1.653959,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,1975,elect_td_bld,2.2382113,Australia_NZ
Brazil,comm cooling,electricity,electricity,1975,elect_td_bld,1.9232275,Brazil
Canada,comm cooling,electricity,electricity,1975,elect_td_bld,2.2688996,Canada
Central America and Caribbean,comm cooling,electricity,electricity,1975,elect_td_bld,1.9232275,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,1975,elect_td_bld,1.7594268,Central Asia
China,comm cooling,electricity,electricity,1975,elect_td_bld,1.6586333,China
EU-12,comm cooling,electricity,electricity,1975,elect_td_bld,1.8955343,EU-12
EU-15,comm cooling,electricity,electricity,1975,elect_td_bld,2.2254785,EU-15
Europe_Eastern,comm cooling,electricity,electricity,1975,elect_td_bld,1.7594268,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,1975,elect_td_bld,1.8955343,Europe_Non_EU
European Free Trade Association,comm cooling,electricity,electricity,1975,elect_td_bld,2.2254785,European Free Trade Association
India,comm cooling,electricity,electricity,1975,elect_td_bld,1.5627259,India
Indonesia,comm cooling,electricity,electricity,1975,elect_td_bld,1.7460601,Indonesia
Japan,comm cooling,electricity,electricity,1975,elect_td_bld,2.3637255,Japan
Mexico,comm cooling,electricity,electricity,1975,elect_td_bld,1.9232275,Mexico
Middle East,comm cooling,electricity,electricity,1975,elect_td_bld,1.9163844,Middle East
Pakistan,comm cooling,electricity,electricity,1975,elect_td_bld,1.7460601,Pakistan
Russia,comm cooling,electricity,electricity,1975,elect_td_bld,1.7594268,Russia
South Africa,comm cooling,electricity,electricity,1975,elect_td_bld,1.653959,South Africa
South America_Northern,comm cooling,electricity,electricity,1975,elect_td_bld,1.9232275,South America_Northern
South America_Southern,comm cooling,electricity,electricity,1975,elect_td_bld,1.9232275,South America_Southern
South Asia,comm cooling,electricity,electricity,1975,elect_td_bld,1.7460601,South Asia
South Korea,comm cooling,electricity,electricity,1975,elect_td_bld,2.1327078,South Korea
Southeast Asia,comm cooling,electricity,electricity,1975,elect_td_bld,1.7460601,Southeast Asia
Taiwan,comm cooling,electricity,electricity,1975,elect_td_bld,1.7460601,Taiwan
Argentina,comm cooling,electricity,electricity,1975,elect_td_bld,1.9232275,Argentina
Colombia,comm cooling,electricity,electricity,1975,elect_td_bld,1.9232275,Colombia
Uruguay,comm cooling,electricity,electricity,1975,elect_td_bld,1.9232275,Uruguay
USA,comm cooling,electricity,electricity,1990,elect_td_bld,2.5714782,USA
Africa_Eastern,comm cooling,electricity,electricity,1990,elect_td_bld,1.8493104,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,1990,elect_td_bld,1.8493104,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,1990,elect_td_bld,1.8493104,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,1990,elect_td_bld,1.8493104,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,1990,elect_td_bld,2.4582951,Australia_NZ
Brazil,comm cooling,electricity,electricity,1990,elect_td_bld,2.1332925,Brazil
Canada,comm cooling,electricity,electricity,1990,elect_td_bld,2.4874725,Canada
Central America and Caribbean,comm cooling,electricity,electricity,1990,elect_td_bld,2.1332925,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,1990,elect_td_bld,1.9731589,Central Asia
