# Service output values were first aggregated by sector to calculate the portion of each input as coefficients, then the coefficients were interpolated to cover last base year, future years and industry coefficient convergence year
region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,year,coefficient
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,1975,0.9707001
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,1990,0.9748096
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2005,0.9457938
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2010,0.9663016
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2015,0.9521227
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2020,0.937292
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2025,0.9224612
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2030,0.9076305
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2035,0.8927997
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2040,0.877969
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2045,0.8631382
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2050,0.8483075
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2055,0.8334767
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2060,0.818646
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2065,0.8038152
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2070,0.7889845
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2075,0.7741537
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2080,0.759323
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2085,0.7444922
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2090,0.7296615
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2095,0.7148307
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2100,0.7
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,1975,0.0292999
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,1990,0.0251904
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2005,0.0542062
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2010,0.0336984
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2015,0.0478773
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2020,0.062708
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2025,0.0775388
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2030,0.0923695
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2035,0.1072003
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2040,0.122031
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2045,0.1368618
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2050,0.1516925
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2055,0.1665233
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2060,0.181354
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2065,0.1961848
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2070,0.2110155
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2075,0.2258463
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2080,0.240677
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2085,0.2555078
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2090,0.2703385
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2095,0.2851693
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2100,0.3
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,1975,0.8748249
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,1990,0.8124594
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2005,0.7664712
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2010,0.7310939
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2015,0.7670443
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2020,0.7631006
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2025,0.7591568
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2030,0.755213
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2035,0.7512692
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2040,0.7473254
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2045,0.7433816
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2050,0.7394379
Africa_Northern,industry,industry,industry,industrial energy use,Africa_Northern,2055,0.7354941
