INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
StubTechEff,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,period,minicam.energy.input,efficiency,market.name
Colombia,industrial energy use,biomass,biomass,1975,delivered biomass,0.753,Colombia
Colombia,industrial energy use,biomass,biomass,1990,delivered biomass,0.776,Colombia
Colombia,industrial energy use,biomass,biomass,2005,delivered biomass,0.799,Colombia
Colombia,industrial energy use,biomass,biomass,2010,delivered biomass,0.798,Colombia
Colombia,industrial energy use,biomass,biomass,2015,delivered biomass,0.798,Colombia
Colombia,industrial energy use,biomass,biomass,2020,delivered biomass,0.8094,Colombia
Colombia,industrial energy use,biomass,biomass,2025,delivered biomass,0.8208,Colombia
Colombia,industrial energy use,biomass,biomass,2030,delivered biomass,0.8322,Colombia
Colombia,industrial energy use,biomass,biomass,2035,delivered biomass,0.8436,Colombia
Colombia,industrial energy use,biomass,biomass,2040,delivered biomass,0.855,Colombia
Colombia,industrial energy use,biomass,biomass,2045,delivered biomass,0.8664,Colombia
Colombia,industrial energy use,biomass,biomass,2050,delivered biomass,0.8778,Colombia
Colombia,industrial energy use,biomass,biomass,2055,delivered biomass,0.8892,Colombia
Colombia,industrial energy use,biomass,biomass,2060,delivered biomass,0.9006,Colombia
Colombia,industrial energy use,biomass,biomass,2065,delivered biomass,0.912,Colombia
Colombia,industrial energy use,biomass,biomass,2070,delivered biomass,0.9234,Colombia
Colombia,industrial energy use,biomass,biomass,2075,delivered biomass,0.9348,Colombia
Colombia,industrial energy use,biomass,biomass,2080,delivered biomass,0.9462,Colombia
Colombia,industrial energy use,biomass,biomass,2085,delivered biomass,0.9576,Colombia
Colombia,industrial energy use,biomass,biomass,2090,delivered biomass,0.969,Colombia
Colombia,industrial energy use,biomass,biomass,2095,delivered biomass,0.9804,Colombia
Colombia,industrial energy use,biomass,biomass,2100,delivered biomass,0.9918,Colombia
Colombia,industrial energy use,biomass,biomass cogen,1975,delivered biomass,0.52,Colombia
Colombia,industrial energy use,biomass,biomass cogen,1990,delivered biomass,0.536,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2005,delivered biomass,0.552,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2010,delivered biomass,0.555,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2015,delivered biomass,0.557,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2020,delivered biomass,0.564957142857143,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2025,delivered biomass,0.572914285714286,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2030,delivered biomass,0.580871428571429,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2035,delivered biomass,0.588828571428571,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2040,delivered biomass,0.596785714285714,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2045,delivered biomass,0.604742857142857,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2050,delivered biomass,0.6127,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2055,delivered biomass,0.620657142857143,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2060,delivered biomass,0.628614285714286,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2065,delivered biomass,0.636571428571429,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2070,delivered biomass,0.644528571428571,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2075,delivered biomass,0.652485714285714,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2080,delivered biomass,0.660442857142857,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2085,delivered biomass,0.6684,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2090,delivered biomass,0.676357142857143,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2095,delivered biomass,0.684314285714286,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2100,delivered biomass,0.692271428571429,Colombia
Colombia,industrial energy use,coal,coal,1975,delivered coal,0.815,Colombia
Colombia,industrial energy use,coal,coal,1990,delivered coal,0.84,Colombia
Colombia,industrial energy use,coal,coal,2005,delivered coal,0.865,Colombia
Colombia,industrial energy use,coal,coal,2010,delivered coal,0.874,Colombia
Colombia,industrial energy use,coal,coal,2015,delivered coal,0.882,Colombia
Colombia,industrial energy use,coal,coal,2020,delivered coal,0.8883,Colombia
Colombia,industrial energy use,coal,coal,2025,delivered coal,0.8946,Colombia
Colombia,industrial energy use,coal,coal,2030,delivered coal,0.9009,Colombia
Colombia,industrial energy use,coal,coal,2035,delivered coal,0.9072,Colombia
Colombia,industrial energy use,coal,coal,2040,delivered coal,0.9135,Colombia
Colombia,industrial energy use,coal,coal,2045,delivered coal,0.9198,Colombia
Colombia,industrial energy use,coal,coal,2050,delivered coal,0.9261,Colombia
Colombia,industrial energy use,coal,coal,2055,delivered coal,0.9324,Colombia
Colombia,industrial energy use,coal,coal,2060,delivered coal,0.9387,Colombia
Colombia,industrial energy use,coal,coal,2065,delivered coal,0.945,Colombia
Colombia,industrial energy use,coal,coal,2070,delivered coal,0.9513,Colombia
Colombia,industrial energy use,coal,coal,2075,delivered coal,0.9576,Colombia
Colombia,industrial energy use,coal,coal,2080,delivered coal,0.9639,Colombia
Colombia,industrial energy use,coal,coal,2085,delivered coal,0.9702,Colombia
Colombia,industrial energy use,coal,coal,2090,delivered coal,0.9765,Colombia
Colombia,industrial energy use,coal,coal,2095,delivered coal,0.9828,Colombia
Colombia,industrial energy use,coal,coal,2100,delivered coal,0.9891,Colombia
Colombia,industrial energy use,coal,coal cogen,1975,delivered coal,0.587,Colombia
Colombia,industrial energy use,coal,coal cogen,1990,delivered coal,0.605,Colombia
Colombia,industrial energy use,coal,coal cogen,2005,delivered coal,0.623,Colombia
Colombia,industrial energy use,coal,coal cogen,2010,delivered coal,0.625,Colombia
Colombia,industrial energy use,coal,coal cogen,2015,delivered coal,0.627,Colombia
Colombia,industrial energy use,coal,coal cogen,2020,delivered coal,0.631478571428571,Colombia
Colombia,industrial energy use,coal,coal cogen,2025,delivered coal,0.635957142857143,Colombia
Colombia,industrial energy use,coal,coal cogen,2030,delivered coal,0.640435714285714,Colombia
Colombia,industrial energy use,coal,coal cogen,2035,delivered coal,0.644914285714286,Colombia
Colombia,industrial energy use,coal,coal cogen,2040,delivered coal,0.649392857142857,Colombia
Colombia,industrial energy use,coal,coal cogen,2045,delivered coal,0.653871428571429,Colombia
Colombia,industrial energy use,coal,coal cogen,2050,delivered coal,0.65835,Colombia
Colombia,industrial energy use,coal,coal cogen,2055,delivered coal,0.662828571428571,Colombia
Colombia,industrial energy use,coal,coal cogen,2060,delivered coal,0.667307142857143,Colombia
Colombia,industrial energy use,coal,coal cogen,2065,delivered coal,0.671785714285714,Colombia
Colombia,industrial energy use,coal,coal cogen,2070,delivered coal,0.676264285714286,Colombia
Colombia,industrial energy use,coal,coal cogen,2075,delivered coal,0.680742857142857,Colombia
Colombia,industrial energy use,coal,coal cogen,2080,delivered coal,0.685221428571429,Colombia
Colombia,industrial energy use,coal,coal cogen,2085,delivered coal,0.6897,Colombia
Colombia,industrial energy use,coal,coal cogen,2090,delivered coal,0.694178571428571,Colombia
Colombia,industrial energy use,coal,coal cogen,2095,delivered coal,0.698657142857143,Colombia
Colombia,industrial energy use,coal,coal cogen,2100,delivered coal,0.703135714285714,Colombia
Colombia,industrial energy use,electricity,electricity,1975,elect_td_ind,0.942,Colombia
Colombia,industrial energy use,electricity,electricity,1990,elect_td_ind,0.971,Colombia
Colombia,industrial energy use,electricity,electricity,2005,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2010,elect_td_ind,1.005,Colombia
Colombia,industrial energy use,electricity,electricity,2015,elect_td_ind,1.01,Colombia
Colombia,industrial energy use,electricity,electricity,2020,elect_td_ind,1.02442857142857,Colombia
Colombia,industrial energy use,electricity,electricity,2025,elect_td_ind,1.03885714285714,Colombia
Colombia,industrial energy use,electricity,electricity,2030,elect_td_ind,1.05328571428571,Colombia
Colombia,industrial energy use,electricity,electricity,2035,elect_td_ind,1.06771428571429,Colombia
Colombia,industrial energy use,electricity,electricity,2040,elect_td_ind,1.08214285714286,Colombia
Colombia,industrial energy use,electricity,electricity,2045,elect_td_ind,1.09657142857143,Colombia
Colombia,industrial energy use,electricity,electricity,2050,elect_td_ind,1.111,Colombia
Colombia,industrial energy use,electricity,electricity,2055,elect_td_ind,1.12542857142857,Colombia
Colombia,industrial energy use,electricity,electricity,2060,elect_td_ind,1.13985714285714,Colombia
Colombia,industrial energy use,electricity,electricity,2065,elect_td_ind,1.15428571428571,Colombia
Colombia,industrial energy use,electricity,electricity,2070,elect_td_ind,1.16871428571429,Colombia
Colombia,industrial energy use,electricity,electricity,2075,elect_td_ind,1.18314285714286,Colombia
Colombia,industrial energy use,electricity,electricity,2080,elect_td_ind,1.19757142857143,Colombia
Colombia,industrial energy use,electricity,electricity,2085,elect_td_ind,1.212,Colombia
Colombia,industrial energy use,electricity,electricity,2090,elect_td_ind,1.22642857142857,Colombia
Colombia,industrial energy use,electricity,electricity,2095,elect_td_ind,1.24085714285714,Colombia
Colombia,industrial energy use,electricity,electricity,2100,elect_td_ind,1.25528571428571,Colombia
Colombia,industrial energy use,gas,gas,1975,wholesale gas,0.833,Colombia
Colombia,industrial energy use,gas,gas,1990,wholesale gas,0.858,Colombia
Colombia,industrial energy use,gas,gas,2005,wholesale gas,0.884,Colombia
Colombia,industrial energy use,gas,gas,2010,wholesale gas,0.889,Colombia
Colombia,industrial energy use,gas,gas,2015,wholesale gas,0.893,Colombia
Colombia,industrial energy use,gas,gas,2020,wholesale gas,0.899378571428571,Colombia
Colombia,industrial energy use,gas,gas,2025,wholesale gas,0.905757142857143,Colombia
Colombia,industrial energy use,gas,gas,2030,wholesale gas,0.912135714285714,Colombia
Colombia,industrial energy use,gas,gas,2035,wholesale gas,0.918514285714286,Colombia
Colombia,industrial energy use,gas,gas,2040,wholesale gas,0.924892857142857,Colombia
Colombia,industrial energy use,gas,gas,2045,wholesale gas,0.931271428571429,Colombia
Colombia,industrial energy use,gas,gas,2050,wholesale gas,0.93765,Colombia
Colombia,industrial energy use,gas,gas,2055,wholesale gas,0.944028571428571,Colombia
Colombia,industrial energy use,gas,gas,2060,wholesale gas,0.950407142857143,Colombia
Colombia,industrial energy use,gas,gas,2065,wholesale gas,0.956785714285714,Colombia
Colombia,industrial energy use,gas,gas,2070,wholesale gas,0.963164285714286,Colombia
Colombia,industrial energy use,gas,gas,2075,wholesale gas,0.969542857142857,Colombia
Colombia,industrial energy use,gas,gas,2080,wholesale gas,0.975921428571429,Colombia
Colombia,industrial energy use,gas,gas,2085,wholesale gas,0.9823,Colombia
Colombia,industrial energy use,gas,gas,2090,wholesale gas,0.988678571428572,Colombia
Colombia,industrial energy use,gas,gas,2095,wholesale gas,0.995057142857143,Colombia
Colombia,industrial energy use,gas,gas,2100,wholesale gas,1.00143571428571,Colombia
Colombia,industrial energy use,gas,gas cogen,1975,wholesale gas,0.568,Colombia
Colombia,industrial energy use,gas,gas cogen,1990,wholesale gas,0.585,Colombia
Colombia,industrial energy use,gas,gas cogen,2005,wholesale gas,0.603,Colombia
Colombia,industrial energy use,gas,gas cogen,2010,wholesale gas,0.606,Colombia
Colombia,industrial energy use,gas,gas cogen,2015,wholesale gas,0.609,Colombia
Colombia,industrial energy use,gas,gas cogen,2020,wholesale gas,0.61335,Colombia
Colombia,industrial energy use,gas,gas cogen,2025,wholesale gas,0.6177,Colombia
Colombia,industrial energy use,gas,gas cogen,2030,wholesale gas,0.62205,Colombia
Colombia,industrial energy use,gas,gas cogen,2035,wholesale gas,0.6264,Colombia
Colombia,industrial energy use,gas,gas cogen,2040,wholesale gas,0.63075,Colombia
Colombia,industrial energy use,gas,gas cogen,2045,wholesale gas,0.6351,Colombia
Colombia,industrial energy use,gas,gas cogen,2050,wholesale gas,0.63945,Colombia
Colombia,industrial energy use,gas,gas cogen,2055,wholesale gas,0.6438,Colombia
Colombia,industrial energy use,gas,gas cogen,2060,wholesale gas,0.64815,Colombia
Colombia,industrial energy use,gas,gas cogen,2065,wholesale gas,0.6525,Colombia
Colombia,industrial energy use,gas,gas cogen,2070,wholesale gas,0.65685,Colombia
Colombia,industrial energy use,gas,gas cogen,2075,wholesale gas,0.6612,Colombia
Colombia,industrial energy use,gas,gas cogen,2080,wholesale gas,0.66555,Colombia
Colombia,industrial energy use,gas,gas cogen,2085,wholesale gas,0.6699,Colombia
Colombia,industrial energy use,gas,gas cogen,2090,wholesale gas,0.67425,Colombia
Colombia,industrial energy use,gas,gas cogen,2095,wholesale gas,0.6786,Colombia
Colombia,industrial energy use,gas,gas cogen,2100,wholesale gas,0.68295,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,1975,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,1990,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2005,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2010,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2015,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2020,H2 enduse,1.02857142857143,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2025,H2 enduse,1.05714285714286,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2030,H2 enduse,1.08571428571429,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2035,H2 enduse,1.11428571428571,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2040,H2 enduse,1.14285714285714,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2045,H2 enduse,1.17142857142857,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2050,H2 enduse,1.2,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2055,H2 enduse,1.22857142857143,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2060,H2 enduse,1.25714285714286,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2065,H2 enduse,1.28571428571429,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2070,H2 enduse,1.31428571428571,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2075,H2 enduse,1.34285714285714,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2080,H2 enduse,1.37142857142857,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2085,H2 enduse,1.4,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2090,H2 enduse,1.42857142857143,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2095,H2 enduse,1.45714285714286,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2100,H2 enduse,1.48571428571429,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,1975,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,1990,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2005,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2010,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2015,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2020,H2 enduse,0.470057142857143,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2025,H2 enduse,0.483114285714286,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2030,H2 enduse,0.496171428571429,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2035,H2 enduse,0.509228571428571,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2040,H2 enduse,0.522285714285714,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2045,H2 enduse,0.535342857142857,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2050,H2 enduse,0.5484,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2055,H2 enduse,0.561457142857143,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2060,H2 enduse,0.574514285714286,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2065,H2 enduse,0.587571428571429,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2070,H2 enduse,0.600628571428571,Colombia
