INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
StubTechEff,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,period,minicam.energy.input,efficiency,market.name
Colombia,industrial energy use,biomass,biomass,1975,delivered biomass,0.753,Colombia
Colombia,industrial energy use,biomass,biomass,1990,delivered biomass,0.776,Colombia
Colombia,industrial energy use,biomass,biomass,2005,delivered biomass,0.799,Colombia
Colombia,industrial energy use,biomass,biomass,2010,delivered biomass,0.798,Colombia
Colombia,industrial energy use,biomass,biomass,2015,delivered biomass,0.798,Colombia
Colombia,industrial energy use,biomass,biomass,2020,delivered biomass,0.9564,Colombia
Colombia,industrial energy use,biomass,biomass,2025,delivered biomass,0.99875,Colombia
Colombia,industrial energy use,biomass,biomass,2030,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2035,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2040,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2045,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2050,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2055,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2060,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2065,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2070,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2075,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2080,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2085,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2090,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2095,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass,2100,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass cogen,1975,delivered biomass,0.52,Colombia
Colombia,industrial energy use,biomass,biomass cogen,1990,delivered biomass,0.536,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2005,delivered biomass,0.552,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2010,delivered biomass,0.555,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2015,delivered biomass,0.557,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2020,delivered biomass,0.672,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2025,delivered biomass,0.70375,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2030,delivered biomass,0.7345,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2035,delivered biomass,0.7668,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2040,delivered biomass,0.7994,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2045,delivered biomass,0.8323,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2050,delivered biomass,0.8655,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2055,delivered biomass,0.899,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2060,delivered biomass,0.9328,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2065,delivered biomass,0.9669,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2070,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2075,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2080,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2085,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2090,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2095,delivered biomass,1,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2100,delivered biomass,1,Colombia
Colombia,industrial energy use,coal,coal,1975,delivered coal,0.815,Colombia
Colombia,industrial energy use,coal,coal,1990,delivered coal,0.84,Colombia
Colombia,industrial energy use,coal,coal,2005,delivered coal,0.865,Colombia
Colombia,industrial energy use,coal,coal,2010,delivered coal,0.874,Colombia
Colombia,industrial energy use,coal,coal,2015,delivered coal,0.882,Colombia
Colombia,industrial energy use,coal,coal,2020,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2025,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2030,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2035,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2040,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2045,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2050,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2055,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2060,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2065,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2070,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2075,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2080,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2085,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2090,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2095,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal,2100,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,1975,delivered coal,0.587,Colombia
Colombia,industrial energy use,coal,coal cogen,1990,delivered coal,0.605,Colombia
Colombia,industrial energy use,coal,coal cogen,2005,delivered coal,0.623,Colombia
Colombia,industrial energy use,coal,coal cogen,2010,delivered coal,0.625,Colombia
Colombia,industrial energy use,coal,coal cogen,2015,delivered coal,0.627,Colombia
Colombia,industrial energy use,coal,coal cogen,2020,delivered coal,0.7548,Colombia
Colombia,industrial energy use,coal,coal cogen,2025,delivered coal,0.78875,Colombia
Colombia,industrial energy use,coal,coal cogen,2030,delivered coal,0.8242,Colombia
Colombia,industrial energy use,coal,coal cogen,2035,delivered coal,0.8586,Colombia
Colombia,industrial energy use,coal,coal cogen,2040,delivered coal,0.8946,Colombia
Colombia,industrial energy use,coal,coal cogen,2045,delivered coal,0.92945,Colombia
Colombia,industrial energy use,coal,coal cogen,2050,delivered coal,0.966,Colombia
Colombia,industrial energy use,coal,coal cogen,2055,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2060,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2065,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2070,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2075,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2080,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2085,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2090,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2095,delivered coal,1,Colombia
Colombia,industrial energy use,coal,coal cogen,2100,delivered coal,1,Colombia
Colombia,industrial energy use,electricity,electricity,1975,elect_td_ind,0.942,Colombia
Colombia,industrial energy use,electricity,electricity,1990,elect_td_ind,0.971,Colombia
Colombia,industrial energy use,electricity,electricity,2005,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2010,elect_td_ind,1.005,Colombia
Colombia,industrial energy use,electricity,electricity,2015,elect_td_ind,1.01,Colombia
Colombia,industrial energy use,electricity,electricity,2020,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2025,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2030,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2035,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2040,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2045,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2050,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2055,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2060,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2065,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2070,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2075,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2080,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2085,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2090,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2095,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2100,elect_td_ind,1,Colombia
Colombia,industrial energy use,gas,gas,1975,wholesale gas,0.833,Colombia
Colombia,industrial energy use,gas,gas,1990,wholesale gas,0.858,Colombia
Colombia,industrial energy use,gas,gas,2005,wholesale gas,0.884,Colombia
Colombia,industrial energy use,gas,gas,2010,wholesale gas,0.889,Colombia
Colombia,industrial energy use,gas,gas,2015,wholesale gas,0.893,Colombia
Colombia,industrial energy use,gas,gas,2020,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2025,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2030,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2035,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2040,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2045,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2050,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2055,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2060,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2065,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2070,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2075,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2080,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2085,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2090,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2095,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas,2100,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,1975,wholesale gas,0.568,Colombia
Colombia,industrial energy use,gas,gas cogen,1990,wholesale gas,0.585,Colombia
Colombia,industrial energy use,gas,gas cogen,2005,wholesale gas,0.603,Colombia
Colombia,industrial energy use,gas,gas cogen,2010,wholesale gas,0.606,Colombia
Colombia,industrial energy use,gas,gas cogen,2015,wholesale gas,0.609,Colombia
Colombia,industrial energy use,gas,gas cogen,2020,wholesale gas,0.7344,Colombia
Colombia,industrial energy use,gas,gas cogen,2025,wholesale gas,0.76875,Colombia
Colombia,industrial energy use,gas,gas cogen,2030,wholesale gas,0.8034,Colombia
Colombia,industrial energy use,gas,gas cogen,2035,wholesale gas,0.83835,Colombia
Colombia,industrial energy use,gas,gas cogen,2040,wholesale gas,0.8736,Colombia
Colombia,industrial energy use,gas,gas cogen,2045,wholesale gas,0.90915,Colombia
Colombia,industrial energy use,gas,gas cogen,2050,wholesale gas,0.945,Colombia
Colombia,industrial energy use,gas,gas cogen,2055,wholesale gas,0.98115,Colombia
Colombia,industrial energy use,gas,gas cogen,2060,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,2065,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,2070,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,2075,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,2080,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,2085,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,2090,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,2095,wholesale gas,1,Colombia
Colombia,industrial energy use,gas,gas cogen,2100,wholesale gas,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,1975,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,1990,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2005,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2010,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2015,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2020,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2025,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2030,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2035,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2040,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2045,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2050,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2055,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2060,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2065,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2070,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2075,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2080,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2085,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2090,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2095,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2100,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,1975,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,1990,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2005,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2010,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2015,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2020,H2 enduse,0.5484,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2025,H2 enduse,0.57375,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2030,H2 enduse,0.6006,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2035,H2 enduse,0.6264,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2040,H2 enduse,0.6524,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2045,H2 enduse,0.68005,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2050,H2 enduse,0.7065,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2055,H2 enduse,0.73315,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2060,H2 enduse,0.7616,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2065,H2 enduse,0.7887,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2070,H2 enduse,0.816,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2075,H2 enduse,0.84525,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2080,H2 enduse,0.873,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2085,H2 enduse,0.90095,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2090,H2 enduse,0.931,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2095,H2 enduse,0.9594,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2100,H2 enduse,0.984,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,1975,refined liquids industrial,0.925,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.953,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,0.982,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2010,refined liquids industrial,0.988,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2015,refined liquids industrial,0.995,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2020,refined liquids industrial,1,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2025,refined liquids industrial,1,Colombia
