# Service output values were first aggregated by sector to calculate the portion of each input as coefficients, then the coefficients were interpolated to cover last base year, future years and industry coefficient convergence year
region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,year,coefficient
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,1975,0.9701998
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,1990,0.9601532
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2005,0.9685992
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2010,0.9612469
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2015,0.9467332
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2020,0.9322195
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2025,0.9177058
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2030,0.9031921
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2035,0.8886783
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2040,0.8741646
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2045,0.8596509
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2050,0.8451372
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2055,0.8306235
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2060,0.8161097
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2065,0.801596
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2070,0.7870823
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2075,0.7725686
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2080,0.7580549
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2085,0.7435412
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2090,0.7290274
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2095,0.7145137
Africa_Eastern,industry,industry,industry,industrial energy use,Africa_Eastern,2100,0.7
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,1975,0.0298002
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,1990,0.0398468
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2005,0.0314008
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2010,0.0387531
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2015,0.0532668
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2020,0.0677805
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2025,0.0822942
Africa_Eastern,industry,industry,industry,industrial feedstocks,Africa_Eastern,2030,0.0968079
